aggregate_category,attribute_category,expression,english_translation,notes
Career Opportunities,Good Career Paths,forfremmelse,promotion,
Career Opportunities,Good Career Paths,avansementsmoglegheiter,promotion opportunities,
Career Opportunities,Good Career Paths,karrieremoglegheitene,the career opportunities,
Career Opportunities,Good Career Paths,karrierebygging,career building,
Career Opportunities,Good Career Paths,utviklingsmuligheter,development opportunities,
Career Opportunities,Good Career Paths,karriereplan,career plan,
Career Opportunities,Good Career Paths,fremtidsmuligheter,future opportunities,
Career Opportunities,Good Career Paths,avansemoglegheiter,promotion opportunities,
Career Opportunities,Good Career Paths,karriæremoglegheiter,career opportunities,
Career Opportunities,Good Career Paths,karrieremuligheter,career opportunities,
Career Opportunities,Good Career Paths,karriereutviklingsmuligheter,career development opportunities,
Career Opportunities,Good Career Paths,opprykksmuligheter,promotion opportunities,
Career Opportunities,Good Career Paths,karrièremuligheter,career opportunities,
Career Opportunities,Good Career Paths,karrieremessig,career-wise,
Career Opportunities,Good Career Paths,avansement,promotion,
Career Opportunities,Good Career Paths,framtidsmuligheter,future opportunities,
Career Opportunities,Good Career Paths,springbrett,springboard,
Career Opportunities,Good Career Paths,karrieremoglegheit,career opportunity,
Career Opportunities,Good Career Paths,karrieremoglegheiter,career opportunities,
Career Opportunities,Good Career Paths,opprykksmoglegheiter,promotion possibilities,
Career Opportunities,Good Career Paths,videre avansement,promotions,
Career Opportunities,Good Career Paths,karrieremulighet,career opportunity,
Career Opportunities,Good Career Paths,karriereutvikling,career development,
Career Opportunities,Good Career Paths,framtidsmoglegheiter,future opportunities,
Career Opportunities,Good Career Paths,karriere,career,
Career Opportunities,Good Career Paths,avansemuligheter,promotion opportunities,
Career Opportunities,Good Career Paths,utviklingsmoglegheiter,development opportunities,
Career Opportunities,Good Career Paths,karriereveier,career paths,
Career Opportunities,Good Career Paths,karriæremuligheter,career opportunities,
Career Opportunities,Good Career Paths,vidare avansement,future promotions,
Career Opportunities,Good Career Paths,interne forfremjingar,internal promotions,
Career Opportunities,Good Career Paths,karrierevegar,career path,
Career Opportunities,Good Career Paths,avansere,promotion,
Career Opportunities,Good Career Paths,karrieremuligheiter,career opportunities,
Career Opportunities,Good Career Paths,intern karriere,internal career,
Career Opportunities,Good Career Paths,karriereutviklingsmoglegheiter,career development opportunities,
Career Opportunities,Good Career Paths,karrierestige,career ladder,
Career Opportunities,Good Career Paths,karrieremulighetene,the career opportunities,
Career Opportunities,Good Career Paths,avansementsmuligheter,promotion opportunities,
Career Opportunities,Good Career Paths,forfremjing,promotion,
Career Opportunities,Good Career Paths,karriere internt,career internally,
Career Opportunities,Good Career Paths,karieremuligheter,career opportunities,
Career Opportunities,Good Career Paths,interne forfremmelser,internal promotions,
Career Opportunities,On-the-Job Training,personleg vidareutvikling,personal further development,
Career Opportunities,On-the-Job Training,lærling,apprentice,
Career Opportunities,On-the-Job Training,lærlingepraksis,apprenticeship,
Career Opportunities,On-the-Job Training,faglege utvikling,professional development,
Career Opportunities,On-the-Job Training,personlig utvikling,personal development,
Career Opportunities,On-the-Job Training,faglig egenutvikling,professional self-development,
Career Opportunities,On-the-Job Training,fagleg eigenutvikling,professional self-development,
Career Opportunities,On-the-Job Training,utviklingsmoglegheit,development opportunity,
Career Opportunities,On-the-Job Training,utviklingmuligheter,development opportunities,
Career Opportunities,On-the-Job Training,tømrerlærling,apprentice carpenter,
Career Opportunities,On-the-Job Training,etterutdanningar,continuing education,
Career Opportunities,On-the-Job Training,etterutdanningsmoglegheiter,continuing education opportunities,
Career Opportunities,On-the-Job Training,utviklingsmoglegheiter,development opportunities,
Career Opportunities,On-the-Job Training,opplæringsbedrift,training company,
Career Opportunities,On-the-Job Training,sykepleiefaglig utvikling,nursing professional development,
Career Opportunities,On-the-Job Training,utdanningssemester,education semester,
Career Opportunities,On-the-Job Training,frisørlærling,hairdresser apprentice,
Career Opportunities,On-the-Job Training,utvikling __comma__ fagleg,development __comma__ professional,
Career Opportunities,On-the-Job Training,kompetansehevingsprogram,skills development programme,
Career Opportunities,On-the-Job Training,kompetanseøkning,competence increase,
Career Opportunities,On-the-Job Training,traineestilling,trainee position,
Career Opportunities,On-the-Job Training,utviklingsmulighet,development opportunity,
Career Opportunities,On-the-Job Training,personlig utveckling,personal development,
Career Opportunities,On-the-Job Training,læreplasser,apprenticeships,
Career Opportunities,On-the-Job Training,eigenutvikling,self-development,
Career Opportunities,On-the-Job Training,utdanningspermisjon,educational leave,
Career Opportunities,On-the-Job Training,arbeidstrening,work training,
Career Opportunities,On-the-Job Training,vidreutdanning,continuing educaton,
Career Opportunities,On-the-Job Training,lærlingar,apprentices,
Career Opportunities,On-the-Job Training,kompetansehevingstiltak,competence-enhancing measures,
Career Opportunities,On-the-Job Training,stipendiatstilling,research fellow position,
Career Opportunities,On-the-Job Training,etterutdanningskurs,continuing education course,
Career Opportunities,On-the-Job Training,fagligutvikling,professional development,
Career Opportunities,On-the-Job Training,kompetansehevning,skills development,
Career Opportunities,On-the-Job Training,tømrarlærling,apprentice carpenter,
Career Opportunities,On-the-Job Training,tverrfaglig utvikling,interdisciplinary development,
Career Opportunities,On-the-Job Training,utvikling både fagleg,development both professionally,
Career Opportunities,On-the-Job Training,personleg utveckling,personal development,
Career Opportunities,On-the-Job Training,faglige utvikling,professional development,
Career Opportunities,On-the-Job Training,kompetanseoppbygging,competence development,
Career Opportunities,On-the-Job Training,etterutdanningstilbud,continuing education offer,
Career Opportunities,On-the-Job Training,fagleg utviking,professional development,
Career Opportunities,On-the-Job Training,utvikling både personlig,development both personally,
Career Opportunities,On-the-Job Training,fagleg kompetanseheving,professional skills development,
Career Opportunities,On-the-Job Training,kompetansehevingsprogrammer,skills development programmes,
Career Opportunities,On-the-Job Training,studiesemester,study semester,
Career Opportunities,On-the-Job Training,utviklingsmulighetene,the development possibilities,
Career Opportunities,On-the-Job Training,læreplass,apprenticeship,
Career Opportunities,On-the-Job Training,lærlinger,apprentices,
Career Opportunities,On-the-Job Training,lærlingeplass,apprenticeship,
Career Opportunities,On-the-Job Training,kompetanseauke,competence increase,
Career Opportunities,On-the-Job Training,praksisplass,internship,
Career Opportunities,On-the-Job Training,utvikling __comma__ faglig,development __comma__ professional,
Career Opportunities,On-the-Job Training,tverrfagleg utvikling,interdisciplinary development,
Career Opportunities,On-the-Job Training,utvikling både faglig,development both academically,
Career Opportunities,On-the-Job Training,personlig videreutvikling,personal development,
Career Opportunities,On-the-Job Training,etterutdanning,continuing education,
Career Opportunities,On-the-Job Training,fagleg vidareutvikling,professional further development,
Career Opportunities,On-the-Job Training,lærlingplass,apprenticeship,
Career Opportunities,On-the-Job Training,lærlingplassar,apprenticeships,
Career Opportunities,On-the-Job Training,etterutdanningstilbod,continuing education offer,
Career Opportunities,On-the-Job Training,personlege utvikling,personal development,
Career Opportunities,On-the-Job Training,kompetanseutvikling,competence development,
Career Opportunities,On-the-Job Training,lærlingeplasser,apprenticeships,
Career Opportunities,On-the-Job Training,studiepermisjon,study leave,
Career Opportunities,On-the-Job Training,lærlingeplassar,apprenticeships,
Career Opportunities,On-the-Job Training,personlige utvikling,personal development,
Career Opportunities,On-the-Job Training,opplæringsstilling,training position,
Career Opportunities,On-the-Job Training,kurs,course,
Career Opportunities,On-the-Job Training,lærlingplasser,apprenticeships,
Career Opportunities,On-the-Job Training,videreutdanning,continuing educaton,
Career Opportunities,On-the-Job Training,etterutdanninger,continuing education,
Career Opportunities,On-the-Job Training,faglig videreutvikling,further professional development,
Career Opportunities,On-the-Job Training,faglig kompetanseheving,professional skills development,
Career Opportunities,On-the-Job Training,etterutdannelse,continuing educaton,
Career Opportunities,On-the-Job Training,personleg utvikling,personal development,
Career Opportunities,On-the-Job Training,utviklingsmuligheter,development opportunities,
Career Opportunities,On-the-Job Training,vidareutdanning,continuing educaton,
Career Opportunities,On-the-Job Training,etterutdanningsprogram,continuing education program,
Career Opportunities,On-the-Job Training,lærekandidat,apprenticeship candidate,
Career Opportunities,On-the-Job Training,etterutdanningsmuligheter,continuing education opportunities,
Career Opportunities,On-the-Job Training,faglig utvikling,professional development,
Career Opportunities,On-the-Job Training,utviklingsmoglegheitene,the development possibilities,
Career Opportunities,On-the-Job Training,kompetansehemning,competence disability,
Career Opportunities,On-the-Job Training,læreplassar,apprenticeships,
Career Opportunities,On-the-Job Training,fagleg utvikling,professional development,
Career Opportunities,On-the-Job Training,sjukepleiefagleg utvikling,nursing professional development,
Career Opportunities,On-the-Job Training,praktikantstilling,internship position,
Career Opportunities,On-the-Job Training,utvikling både personleg,development both personally,
Career Opportunities,On-the-Job Training,utviklingsmuligheiter,development opportunities,
Career Opportunities,On-the-Job Training,personleg fagleg utvikling,personal professional development,
Career Opportunities,On-the-Job Training,kursdeltaking,course participation,
Career Opportunities,On-the-Job Training,opplæring,training,
Career Opportunities,On-the-Job Training,faglig utviking,professional development,
Hours of Work,Full-time Contract,heltidsstilling,full-time position,
Hours of Work,Full-time Contract,heiltidsstilling,full-time position,
Hours of Work,Full-time Contract,heltidstilling,full time position,
Hours of Work,Full-time Contract,heiltidsjobb,full-time job,
Hours of Work,Full-time Contract,fulltidsarbeid,full time work,
Hours of Work,Full-time Contract,fulltid,full time,
Hours of Work,Full-time Contract,heiltidstilsette,full-time employees,
Hours of Work,Full-time Contract,__hundred__ %,__hundred__ %,
Hours of Work,Full-time Contract,heiltidstillingar,full-time positions,
Hours of Work,Full-time Contract,__hundred__ prosent,__hundred__ percent,
Hours of Work,Full-time Contract,heiltidstilsetjing,full-time employment,
Hours of Work,Full-time Contract,fulltidsjobb,full time job,
Hours of Work,Full-time Contract,heiltidstilling,full-time position,
Hours of Work,Full-time Contract,heltidsansettelse,full-time employment,
Hours of Work,Full-time Contract,heltid,full-time,
Hours of Work,Full-time Contract,__hundredpct__,__hundredpct__,
Hours of Work,Full-time Contract,full fast stilling,full time permanent position,
Hours of Work,Full-time Contract,fulltidsstilling,full time position,
Hours of Work,Full-time Contract,heiltids,full time,
Hours of Work,Full-time Contract,fulltids,full time,
Hours of Work,Full-time Contract,heltidsansatte,full-time employees,
Hours of Work,Full-time Contract,fullstilling,full time employment,
Hours of Work,Full-time Contract,heltidsarbeid,full-time work,
Hours of Work,Full-time Contract,heiltid,full time,
Hours of Work,Full-time Contract,heiltidstilsett,full-time employee,
Hours of Work,Full-time Contract,heiltidsarbeid,full-time work,
Hours of Work,Full-time Contract,heltids,full-time,
Hours of Work,Full-time Contract,full stilling,full time employment,
Hours of Work,Full-time Contract,heltidsansatt,full-time employee,
Hours of Work,Full-time Contract,fulltidstilling,full time position,
Hours of Work,Part-time Contract,deltidsvikariat,part-time temporary work,
Hours of Work,Part-time Contract,delstilling,part-time position,
Hours of Work,Part-time Contract,deltidsstiling,part-time styling,
Hours of Work,Part-time Contract,__lessthanhundred__ prosent,__lessthanhundred__ percent,
Hours of Work,Part-time Contract,deltidsarbeidarar,part-time workers,
Hours of Work,Part-time Contract,delstillinger,part-time positions,
Hours of Work,Part-time Contract,deltidstilsett,part-time employee,
Hours of Work,Part-time Contract,deltidsarbeid,part-time work,
Hours of Work,Part-time Contract,deltidsansatt,part-time employee,
Hours of Work,Part-time Contract,deltidstilsette,part-time employees,
Hours of Work,Part-time Contract,__lessthanhundredpct__,__lessthanhundredpct__,
Hours of Work,Part-time Contract,deltidsansettelse,part-time employment,
Hours of Work,Part-time Contract,deltidsstilling,part-time position,
Hours of Work,Part-time Contract,deltidsmedarbeider,part-time employee,
Hours of Work,Part-time Contract,__lessthanhundred__ %,__lessthanhundred__ %,
Hours of Work,Part-time Contract,stilling annenhver,position every other,
Hours of Work,Part-time Contract,deltidsengasjement,part-time commitment,
Hours of Work,Part-time Contract,deltidsvektarar,part-time surveyors,
Hours of Work,Part-time Contract,deltidsansatte,part-time employees,
Hours of Work,Part-time Contract,deltidstilling,part-time position,
Hours of Work,Part-time Contract,delti,part-time,Misspelling
Hours of Work,Part-time Contract,deltidsstillinga,the part-time position,
Hours of Work,Part-time Contract,deltidstillinger,part-time positions,
Hours of Work,Part-time Contract,deltidsselger,part-time salesperson,
Hours of Work,Part-time Contract,stilling annankvar,position required,
Hours of Work,Part-time Contract,deltidsstillinger,part-time positions,
Hours of Work,Part-time Contract,delstillingar,part-time positions,
Hours of Work,Part-time Contract,deltidsstillingen,the part-time position,
Hours of Work,Part-time Contract,deltidsoppdrag,part-time assignment,
Hours of Work,Part-time Contract,halv stilling,half position,
Hours of Work,Part-time Contract,deltidsmedarbeidar,part-time employee,
Hours of Work,Part-time Contract,deltidsstillingar,part-time positions,
Hours of Work,Part-time Contract,deltidsseljar,part-time seller,
Hours of Work,Part-time Contract,deltidsjobb,part-time job,
Hours of Work,Part-time Contract,deltidstilsetjing,part-time employment,
Hours of Work,Part-time Contract,deltid,part-time,
Hours of Work,Part-time Contract,deltids,part-time,
Hours of Work,Full-time/Part-time Choice,deltid eller heltidsjobb,part-time or full-time job,
Hours of Work,Full-time/Part-time Choice,deltid / fulltid,part-time / full-time,
Hours of Work,Full-time/Part-time Choice,heiltid __comma__ deltid,full-time __comma__ part-time,
Hours of Work,Full-time/Part-time Choice,deltid __comma__ heiltid,part-time __comma__ full-time,
Hours of Work,Full-time/Part-time Choice,deltid __comma__ heltid,part-time __comma__ full-time,
Hours of Work,Full-time/Part-time Choice,heltid __comma__ deltid,full-time __comma__ part-time,
Hours of Work,Full-time/Part-time Choice,fulltid / deltid,full-time / part-time,
Hours of Work,Full-time/Part-time Choice,deltid eller heiltidsjobb,part-time or full-time job,
Hours of Work,Full-time/Part-time Choice,hel eller deltid,full or part-time,
Hours of Work,Full-time/Part-time Choice,heiltid / deltid,full-time / part-time,
Hours of Work,Full-time/Part-time Choice,heiltid eller deltidsjobb,full-time or part-time job,
Hours of Work,Full-time/Part-time Choice,heiltid eller deltidsstilling,full-time or part-time position,
Hours of Work,Full-time/Part-time Choice,hæl eller deltid,full or part-time,
Hours of Work,Full-time/Part-time Choice,deltid / heiltid,part-time / full-time,
Hours of Work,Full-time/Part-time Choice,heiltid eller deltid,full-time or part-time,
Hours of Work,Full-time/Part-time Choice,deltid eller heiltid,part-time or full-time,
Hours of Work,Full-time/Part-time Choice,deltid eller heltid,part-time or full-time,
Hours of Work,Full-time/Part-time Choice,heltid eller deltidsstilling,full-time or part-time position,
Hours of Work,Full-time/Part-time Choice,heltid eller deltid,full-time or part-time,
Hours of Work,Full-time/Part-time Choice,heltid eller deltidsjobb,full-time or part-time job,
Hours of Work,Full-time/Part-time Choice,deltid eller fulltid,part-time or full-time,
Hours of Work,Full-time/Part-time Choice,fulltid eller deltid,part-time or full-time,
Hours of Work,Full-time/Part-time Choice,deltid / heltid,part-time / full-time,
Hours of Work,Full-time/Part-time Choice,heltid / deltid,full-time / part-time,
Convenient Hours,Possibility to Work Flexible Hours,fleksibel arbeidstidsordning,flexible working hours,
Convenient Hours,Possibility to Work Flexible Hours,fleksible arbeidstidsordninger,flexible working time arrangements,
Convenient Hours,Possibility to Work Flexible Hours,fleksible arbeidstid,flexible working hours,
Convenient Hours,Possibility to Work Flexible Hours,fleksible arbeidstidsordningar,flexible working time arrangements,
Convenient Hours,Possibility to Work Flexible Hours,fleksible arbeidstidordninger,flexible working hours,
Convenient Hours,Possibility to Work Flexible Hours,fleksible arbeidstidsløysingar,flexible working time solutions,
Convenient Hours,Possibility to Work Flexible Hours,fleksitidordning,flexible working hour scheme,
Convenient Hours,Possibility to Work Flexible Hours,fleksible arbeidsordningar,flexible working arrangements,
Convenient Hours,Possibility to Work Flexible Hours,fleksitid,flexible working hours,
Convenient Hours,Possibility to Work Flexible Hours,fleksitidsordning,flexible working hour scheme,
Convenient Hours,Possibility to Work Flexible Hours,fleksible arbeidstidsløsninger,flexible working time solutions,
Convenient Hours,Possibility to Work Flexible Hours,fleksibel arbeidsordning,flexible working arrangements,
Convenient Hours,Possibility to Work Flexible Hours,fleksible på arbeidstider,flexible on working hours,
Convenient Hours,Possibility to Work Flexible Hours,kjernetida,core time,
Convenient Hours,Possibility to Work Flexible Hours,flexibel arbeidstid,flexible working hours,
Convenient Hours,Possibility to Work Flexible Hours,flexitid,flexible working hours,
Convenient Hours,Possibility to Work Flexible Hours,fleksitidavtale,flexible working hour agreement,
Convenient Hours,Possibility to Work Flexible Hours,fleksible arbeidsordninger,flexible working arrangements,
Convenient Hours,Possibility to Work Flexible Hours,fleksibel arbeidstids,flexible working hours,
Convenient Hours,Possibility to Work Flexible Hours,fleksitidsavtale,flexible working hour agreement,
Convenient Hours,Possibility to Work Flexible Hours,fleksibel arbeidstid,flexible working hours,
Convenient Hours,Possibility to Work Flexible Hours,fleksible arbeidstider,flexible working hours,
Convenient Hours,Possibility to Work Flexible Hours,kjernetid,core time,
Convenient Hours,Regular Daytime Work Schedule,fast arbeidstid,fixed working hours,
Convenient Hours,Regular Daytime Work Schedule,arbeidstid normal,working hours normal,
Convenient Hours,Regular Daytime Work Schedule,normal arbeidstid,normal working hours,
Convenient Hours,Regular Daytime Work Schedule,arbeidstid vanlig arbeidstid,working hours normal working hours,
Convenient Hours,Regular Daytime Work Schedule,fast kontortid,fixed office hours,
Convenient Hours,Regular Daytime Work Schedule,arbeidstid vanleg arbeidstid,working hours normal working hours,
Convenient Hours,Regular Daytime Work Schedule,faste arbeidstider,fixed working hours,
Convenient Hours,Regular Daytime Work Schedule,regulær arbeidstid,regular working hours,
Convenient Hours,Exempt from Work Hour Regulations,untatt arbeidsmiljølovens,exempt from the Working Environment Act,
Convenient Hours,Exempt from Work Hour Regulations,stilling som leiande,position as a leader,keyword for jobs exempt from work hour regulations
Convenient Hours,Exempt from Work Hour Regulations,postdoktorstilling,postdoctoral fellow,
Convenient Hours,Exempt from Work Hour Regulations,stipendiatstilling,doctoral fellow,
Convenient Hours,Exempt from Work Hour Regulations,særleg uavhengig,particularily independent,keyword for jobs exempt from work hour regulations
Convenient Hours,Exempt from Work Hour Regulations,leiande stilling,leading position,keyword for jobs exempt from work hour regulations
Convenient Hours,Exempt from Work Hour Regulations,særlig uavhengig,particularily independent,
Convenient Hours,Exempt from Work Hour Regulations,uavhengig stilling,independent position,
Convenient Hours,Exempt from Work Hour Regulations,untatt arbeidsmiljøloven,exempt from the Working Environment Act,
Convenient Hours,Exempt from Work Hour Regulations,stipendiat,doctoral fellow,
Convenient Hours,Exempt from Work Hour Regulations,doktorgradsstilling,doctoral fellow,
Convenient Hours,Exempt from Work Hour Regulations,stilling som ledende,position as a leader,keyword for jobs exempt from work hour regulations
Convenient Hours,Exempt from Work Hour Regulations,untatt arbeidsmiljølov,exempt from the Working Environment Act,
Convenient Hours,Exempt from Work Hour Regulations,ledende stilling,leading position,keyword for jobs exempt from work hour regulations
Convenient Hours,Exempt from Work Hour Regulations,untatt arbeidsmiljølovas,exempt from the Working Environment Act,
Convenient Hours,Exempt from Work Hour Regulations,untatt aml,exempt from the Working Environment Act,
Convenient Hours,Exempt from Work Hour Regulations,untatt arbeidsmiljølova,exempt from the Working Environment Act,
Inconvenient Hours,Shift Work,skifttjeneste,shift service,
Inconvenient Hours,Shift Work,medlevarturnus,co-living rotation,
Inconvenient Hours,Shift Work,medleverturnus,co-living rotation,
Inconvenient Hours,Shift Work,skiftordninger,shift arrangements,
Inconvenient Hours,Shift Work,skiftplanen,the shift schedule,
Inconvenient Hours,Shift Work,vaktordning,shift scheme,
Inconvenient Hours,Shift Work,medleverskap,co-living,
Inconvenient Hours,Shift Work,skiftordning,shift arrangement,
Inconvenient Hours,Shift Work,forhandlingsturnus,negotiontion based shift based rotation,
Inconvenient Hours,Shift Work,helgeturnus,weekend shift,
Inconvenient Hours,Shift Work,kveldskift,evening shift,
Inconvenient Hours,Shift Work,langvaktsturnus,long shift rotation scheme,
Inconvenient Hours,Shift Work,turnusarbeid,shift work,
Inconvenient Hours,Shift Work,ønsketurnus,wish rotation shift,
Inconvenient Hours,Shift Work,turnusstilling,rotation position,
Inconvenient Hours,Shift Work,skiftgåande,shift work,
Inconvenient Hours,Shift Work,skiftkøyring,driving shift,
Inconvenient Hours,Shift Work,skiftteneste,shift service,
Inconvenient Hours,Shift Work,helgeskift,weekend shift,
Inconvenient Hours,Shift Work,arbeidsplan,work schedule,
Inconvenient Hours,Shift Work,sommerturnus,summer shift rotation,
Inconvenient Hours,Shift Work,turnusarbeide,shift work,
Inconvenient Hours,Shift Work,toskiftsordning,two-shift arrangement,
Inconvenient Hours,Shift Work,turnusar,the shift rotations,
Inconvenient Hours,Shift Work,vaktplan,shift schedule,
Inconvenient Hours,Shift Work,turnusordning,rotation arrangement,
Inconvenient Hours,Shift Work,sommarturnus,summer shift rotation,
Inconvenient Hours,Shift Work,grunnturnus,basic shift work rotation,
Inconvenient Hours,Shift Work,vaktskift,shift rotation,
Inconvenient Hours,Shift Work,bakvaktordning,standby shift scheme,
Inconvenient Hours,Shift Work,skiftturnus,shift rotation,
Inconvenient Hours,Shift Work,natturnus,night shift rotation,
Inconvenient Hours,Shift Work,turnusvakter,rotation shifts,
Inconvenient Hours,Shift Work,langturnus,long-term shift work,
Inconvenient Hours,Shift Work,tjenesteplan,service plan,
Inconvenient Hours,Shift Work,turnusjobbing,work rotation shifts,
Inconvenient Hours,Shift Work,vaktliste,rotation shift plan,
Inconvenient Hours,Shift Work,kveldsskift,evening shift,
Inconvenient Hours,Shift Work,nattskift,night shift,
Inconvenient Hours,Shift Work,tenesteplan,service plan,
Inconvenient Hours,Shift Work,skiftsordning,shift arrangement,
Inconvenient Hours,Shift Work,fleksiturnus,flexible shift work rotation,
Inconvenient Hours,Shift Work,turnusstillinger,rotation positions,
Inconvenient Hours,Shift Work,medlever,co-living,
Inconvenient Hours,Shift Work,langvaktturnus,long shift rotation scheme,
Inconvenient Hours,Shift Work,turnusplan,rotation schedule,
Inconvenient Hours,Shift Work,skiftarbeide,shift work,
Inconvenient Hours,Shift Work,årsturnus,yearly shift rotation,
Inconvenient Hours,Shift Work,skiftkjøring,driving shift,
Inconvenient Hours,Shift Work,bakvaktsordning,standby shift scheme,
Inconvenient Hours,Shift Work,skiftordningar,shift arrangements,
Inconvenient Hours,Shift Work,turnus,shift rotation,
Inconvenient Hours,Shift Work,gudstenesteturnus, religious service shift work,
Inconvenient Hours,Shift Work,rundturnus __comma__day, evening __comma__ night swift rotation,
Inconvenient Hours,Shift Work,skifta,shift,
Inconvenient Hours,Shift Work,nattevaktsturnus,night shift,
Inconvenient Hours,Shift Work,turnusteneste,shift rotation,
Inconvenient Hours,Shift Work,døgnturnus,24-hour shift,
Inconvenient Hours,Shift Work,skiftene,the shifts,
Inconvenient Hours,Shift Work,turnustjeneste,shift service,
Inconvenient Hours,Shift Work,nattevaktturnus,night shift,
Inconvenient Hours,Shift Work,oljeturnus,petrolium rotation shift work,
Inconvenient Hours,Shift Work,dagskift,day shift,
Inconvenient Hours,Shift Work,turnussystem,rotation system,
Inconvenient Hours,Shift Work,tunus,shift rotation,
Inconvenient Hours,Shift Work,toskiftordning,two-shift arrangement,
Inconvenient Hours,Shift Work,skiftjobbing,shift work,
Inconvenient Hours,Shift Work,turnusbasert,rotation-based,
Inconvenient Hours,Shift Work,skift,shift,
Inconvenient Hours,Shift Work,skiftarbeid,shift work,
Inconvenient Hours,Shift Work,vaktturnus,shift rotation,
Inconvenient Hours,Shift Work,skiftplan,shift schedule,
Inconvenient Hours,Shift Work,turnusfri,rotation free,
Inconvenient Hours,Shift Work,gudstjenesteturnus,religious service shift work,
Inconvenient Hours,Shift Work,turnusen,the rotation,
Inconvenient Hours,Shift Work,legevaktturnus,emergency room shift work,
Inconvenient Hours,Shift Work,turnuser,rotations,
Inconvenient Hours,Shift Work,kveldsturnus,evening shift,
Inconvenient Hours,Weekend/Evening/Night Work,natten,the night,
Inconvenient Hours,Weekend/Evening/Night Work,ettermiddagsskift,afternoon shift,
Inconvenient Hours,Weekend/Evening/Night Work,nattevakt,night watch,
Inconvenient Hours,Weekend/Evening/Night Work,nattetid,night time,
Inconvenient Hours,Weekend/Evening/Night Work,lør,Sat,Misspelling
Inconvenient Hours,Weekend/Evening/Night Work,søndag,Sunday,
Inconvenient Hours,Weekend/Evening/Night Work,nattavdelingssjukepleiar,night ward nurse,
Inconvenient Hours,Weekend/Evening/Night Work,mellomvakter,intermediate guards,
Inconvenient Hours,Weekend/Evening/Night Work,lørdagsjobbing,Saturday working,
Inconvenient Hours,Weekend/Evening/Night Work,nattevaktstilling,night shift position,
Inconvenient Hours,Weekend/Evening/Night Work,lørdagsarbeid,Saturday work,
Inconvenient Hours,Weekend/Evening/Night Work,laurdagsjobbing,Saturday working,
Inconvenient Hours,Weekend/Evening/Night Work,laurdagar,Saturdays,
Inconvenient Hours,Weekend/Evening/Night Work,kveldsvakter,evening shifts,
Inconvenient Hours,Weekend/Evening/Night Work,kveldsturnus,evening shift,
Inconvenient Hours,Weekend/Evening/Night Work,kveldsjobb,evening job,
Inconvenient Hours,Weekend/Evening/Night Work,aftan,evening,
Inconvenient Hours,Weekend/Evening/Night Work,kveldane,the evenings,
Inconvenient Hours,Weekend/Evening/Night Work,høytidsdager,public holidays,
Inconvenient Hours,Weekend/Evening/Night Work,helligdagstillegg,public holiday supplement,
Inconvenient Hours,Weekend/Evening/Night Work,helligdagsarbeid,public holiday work,
Inconvenient Hours,Weekend/Evening/Night Work,helligdag,holiday,
Inconvenient Hours,Weekend/Evening/Night Work,helgevikar,weekend substitute,
Inconvenient Hours,Weekend/Evening/Night Work,nattevaktstillinger,night shift positions,
Inconvenient Hours,Weekend/Evening/Night Work,kveldskift,evening shift,
Inconvenient Hours,Weekend/Evening/Night Work,nattavdelingssykepleier,night ward nurse,
Inconvenient Hours,Weekend/Evening/Night Work,helgedagar,holidays,
Inconvenient Hours,Weekend/Evening/Night Work,helgar,weekends,
Inconvenient Hours,Weekend/Evening/Night Work,weekend,weekend,
Inconvenient Hours,Weekend/Evening/Night Work,nattvaktstilling,night shift position,
Inconvenient Hours,Weekend/Evening/Night Work,ettermiddag,afternoon,
Inconvenient Hours,Weekend/Evening/Night Work,lørdagsvakt,Saturday shift,
Inconvenient Hours,Weekend/Evening/Night Work,arbeidshelgar,working weekends,
Inconvenient Hours,Weekend/Evening/Night Work,kvelder,evenings,
Inconvenient Hours,Weekend/Evening/Night Work,lørdager,Saturdays,
Inconvenient Hours,Weekend/Evening/Night Work,lørdagshjelp,Saturday help,
Inconvenient Hours,Weekend/Evening/Night Work,nattstilling,night position,
Inconvenient Hours,Weekend/Evening/Night Work,helge,weekend,
Inconvenient Hours,Weekend/Evening/Night Work,helgejobb,weekend job,
Inconvenient Hours,Weekend/Evening/Night Work,heilagdagstillegg,holiday supplement,
Inconvenient Hours,Weekend/Evening/Night Work,ettermiddagar,afternoons,
Inconvenient Hours,Weekend/Evening/Night Work,kveld,evening,
Inconvenient Hours,Weekend/Evening/Night Work,helgekøyring,weekend driving,
Inconvenient Hours,Weekend/Evening/Night Work,natta,the night,
Inconvenient Hours,Weekend/Evening/Night Work,nattevakter,night shifts,
Inconvenient Hours,Weekend/Evening/Night Work,seinvakt,late shift,
Inconvenient Hours,Weekend/Evening/Night Work,kvelden,the evening,
Inconvenient Hours,Weekend/Evening/Night Work,kveldsjobbing,evening work,
Inconvenient Hours,Weekend/Evening/Night Work,helgeavløysar,weekend breaks,
Inconvenient Hours,Weekend/Evening/Night Work,lørdag,Saturday,
Inconvenient Hours,Weekend/Evening/Night Work,helgane,the saints,
Inconvenient Hours,Weekend/Evening/Night Work,høgtid,rush hour,
Inconvenient Hours,Weekend/Evening/Night Work,helgefrekvens,weekend frequency,
Inconvenient Hours,Weekend/Evening/Night Work,nattarbeid,night work,
Inconvenient Hours,Weekend/Evening/Night Work,kortvakter,card guards,
Inconvenient Hours,Weekend/Evening/Night Work,nattjeneste,night shift,
